type,job_name,step_name,step_started_at,step_completed_at,job_html_url
earliest_setup_android_emulator,call-min-flutter-test / android,Setup Android Emulator,2025-12-23T19:15:54Z,2025-12-23T19:17:12Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251315
latest_run_flutter_integration_tests,call-test / windows,Run Flutter integration tests,2025-12-23T19:21:09Z,2025-12-23T19:48:14Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251354
