job_id,job_name,job_started_at,job_completed_at,job_html_url,step_number,step_name,step_status,step_conclusion,step_started_at,step_completed_at,step_started_at_dt,step_completed_at_dt,duration_seconds
58821251315,call-min-flutter-test / android,2025-12-23T19:15:00Z,2025-12-23T19:25:59Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251315,4,Run bluefireteam/melos-action@v3,completed,success,2025-12-23T19:15:41Z,2025-12-23T19:15:54Z,2025-12-23 19:15:41+00:00,2025-12-23 19:15:54+00:00,13.0
58821251315,call-min-flutter-test / android,2025-12-23T19:15:00Z,2025-12-23T19:25:59Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251315,5,Setup Android Emulator,completed,success,2025-12-23T19:15:54Z,2025-12-23T19:17:12Z,2025-12-23 19:15:54+00:00,2025-12-23 19:17:12+00:00,78.0
58821251273,call-test / android,2025-12-23T19:15:00Z,2025-12-23T19:26:40Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251273,4,Run bluefireteam/melos-action@v3,completed,success,2025-12-23T19:16:02Z,2025-12-23T19:16:16Z,2025-12-23 19:16:02+00:00,2025-12-23 19:16:16+00:00,14.0
58821251291,call-test / android-min,2025-12-23T19:15:01Z,2025-12-23T19:27:00Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251291,4,Run bluefireteam/melos-action@v3,completed,success,2025-12-23T19:16:02Z,2025-12-23T19:16:16Z,2025-12-23 19:16:02+00:00,2025-12-23 19:16:16+00:00,14.0
58821251291,call-test / android-min,2025-12-23T19:15:01Z,2025-12-23T19:27:00Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251291,5,Setup Android Emulator,completed,success,2025-12-23T19:16:16Z,2025-12-23T19:17:25Z,2025-12-23 19:16:16+00:00,2025-12-23 19:17:25+00:00,69.0
58821251273,call-test / android,2025-12-23T19:15:00Z,2025-12-23T19:26:40Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251273,5,Setup Android Emulator,completed,success,2025-12-23T19:16:16Z,2025-12-23T19:20:01Z,2025-12-23 19:16:16+00:00,2025-12-23 19:20:01+00:00,225.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,3,Run actions/checkout@v4,completed,success,2025-12-23T19:16:18Z,2025-12-23T19:16:20Z,2025-12-23 19:16:18+00:00,2025-12-23 19:16:20+00:00,2.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,4,Run subosito/flutter-action@v2,completed,success,2025-12-23T19:16:20Z,2025-12-23T19:16:58Z,2025-12-23 19:16:20+00:00,2025-12-23 19:16:58+00:00,38.0
58821251357,call-min-flutter-test / windows,2025-12-23T19:15:00Z,2025-12-23T19:45:12Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251357,4,Run bluefireteam/melos-action@v3,completed,success,2025-12-23T19:16:32Z,2025-12-23T19:17:02Z,2025-12-23 19:16:32+00:00,2025-12-23 19:17:02+00:00,30.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,5,Run bluefireteam/melos-action@v3,completed,success,2025-12-23T19:16:58Z,2025-12-23T19:17:13Z,2025-12-23 19:16:58+00:00,2025-12-23 19:17:13+00:00,15.0
58821251357,call-min-flutter-test / windows,2025-12-23T19:15:00Z,2025-12-23T19:45:12Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251357,5,Download virtual audio device,completed,success,2025-12-23T19:17:02Z,2025-12-23T19:17:12Z,2025-12-23 19:17:02+00:00,2025-12-23 19:17:12+00:00,10.0
58821251357,call-min-flutter-test / windows,2025-12-23T19:15:00Z,2025-12-23T19:45:12Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251357,6,Disable time sync with Hyper-V & setting system date time (#1573),completed,success,2025-12-23T19:17:12Z,2023-07-04T12:00:00Z,2025-12-23 19:17:12+00:00,2023-07-04 12:00:00+00:00,-78045432.0
58821251315,call-min-flutter-test / android,2025-12-23T19:15:00Z,2025-12-23T19:25:59Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251315,6,Run Flutter integration tests,completed,failure,2025-12-23T19:17:12Z,2025-12-23T19:25:56Z,2025-12-23 19:17:12+00:00,2025-12-23 19:25:56+00:00,524.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,6,Run melos format --set-exit-if-changed,completed,failure,2025-12-23T19:17:13Z,2025-12-23T19:17:17Z,2025-12-23 19:17:13+00:00,2025-12-23 19:17:17+00:00,4.0
58821251310,call-min-flutter-test / test,2025-12-23T19:15:01Z,2025-12-23T19:17:19Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469493769/job/58821251310,7,Run flutter analyze --no-fatal-warnings,completed,skipped,2025-12-23T19:17:17Z,2025-12-23T19:17:17Z,2025-12-23 19:17:17+00:00,2025-12-23 19:17:17+00:00,0.0
