repo,style,start,end,duration_days,changes,changes_per_100d
anilbeesetti__nextplayer,Emu_Community,2023-02-20T15:22:49+05:30,2025-08-10T23:59:59+00:00,902.5883101851852,0,0.0
anjlab__android-inapp-billing-v3,Emu_Custom,2017-01-23T09:38:30+03:00,2021-11-18T16:54:34+03:00,1760.3028240740741,0,0.0
anjlab__android-inapp-billing-v3,Emu_Community,2021-11-18T16:54:34+03:00,2025-08-10T23:59:59+00:00,1361.4204282407406,0,0.0
ankidroid__Anki-Android,Emu_Custom,2013-06-20T08:12:51+01:00,2022-04-24T13:15:19-05:00,3230.4600462962962,0,0.0
ankidroid__Anki-Android,Emu_Community,2022-04-24T13:15:19-05:00,2025-08-10T23:59:59+00:00,1204.2393518518518,0,0.0
AntennaPod__AntennaPod,Emu_Custom,2014-05-18T22:12:08+02:00,2019-12-12T09:47:15+01:00,2033.524386574074,0,0.0
AntennaPod__AntennaPod,Emu_Community,2019-12-12T09:47:15+01:00,2025-08-10T23:59:59+00:00,2068.6338425925924,0,0.0
appmattus__layercache,Emu_Custom,2017-10-23T13:09:56+01:00,2020-07-16T16:09:41+01:00,997.1248263888889,0,0.0
appmattus__layercache,Emu_Community,2020-07-16T16:09:41+01:00,2025-08-10T23:59:59+00:00,1851.3682638888888,0,0.0
arkivanov__android-dev-challenge-compose-2,Emu_Community,2021-03-07T21:06:38+00:00,2025-08-10T23:59:59+00:00,1617.1203819444445,0,0.0
aws__amazon-ivs-react-native-player,Emu_Custom,2021-10-26T15:34:23+02:00,2025-08-10T23:59:59+00:00,1384.4344444444444,0,0.0
Bdaya-Dev__oidc,Emu_Community,2023-08-24T21:15:00+03:00,2025-08-10T23:59:59+00:00,717.2395717592592,0,0.0
beemdevelopment__Aegis,Emu_Custom,2020-06-10T16:15:52+02:00,2022-06-06T19:06:42+02:00,726.1186342592592,0,0.0
beemdevelopment__Aegis,Emu_Community,2022-06-06T19:06:42+02:00,2025-08-10T23:59:59+00:00,1161.2870023148148,0,0.0
bilibili__boxing,Emu_Custom,2017-02-04T16:04:36+08:00,2025-08-10T23:59:59+00:00,3109.663460648148,0,0.0
bitfireAT__davx5-ose,Emu_Custom,2021-11-07T21:18:08+01:00,2023-04-12T11:39:32+02:00,520.5565277777778,0,0.0
bitfireAT__davx5-ose,Emu_Community,2023-04-12T11:39:32+02:00,2024-03-01T20:15:45+01:00,324.400150462963,0,0.0
bitfireAT__davx5-ose,GMD,2024-03-01T20:15:45+01:00,2025-08-10T23:59:59+00:00,527.1973842592593,0,0.0
bitfireAT__icsx5,Emu_Custom,2022-02-16T18:20:47+01:00,2023-03-31T13:10:46+02:00,407.7430439814815,0,0.0
bitfireAT__icsx5,Emu_Community,2023-03-31T13:10:46+02:00,2025-08-10T23:59:59+00:00,863.5341782407407,0,0.0
blazsolar__android-collapse-calendar-view,Emu_Custom,2014-07-16T12:03:36+02:00,2025-08-10T23:59:59+00:00,4043.5808217592594,0,0.0
BlueWallet__BlueWallet,Emu_Custom,2020-03-17T08:40:11+00:00,2020-06-29T17:57:16+01:00,104.34519675925925,0,0.0
BlueWallet__BlueWallet,Emu_Community,2020-06-29T17:57:16+01:00,2024-03-01T20:16:58-04:00,1341.3053472222223,1,0.07455423942586609
BlueWallet__BlueWallet,Emu_Community,2024-03-01T20:16:58-04:00,2024-03-03T08:21:41-04:00,1.503275462962963,0,0.0
BlueWallet__BlueWallet,ThirdParty,2024-03-01T20:16:58-04:00,2024-03-03T08:21:41-04:00,1.503275462962963,0,0.0
BlueWallet__BlueWallet,Emu_Community,2024-03-03T08:21:41-04:00,2024-03-03T09:32:49-04:00,0.04939814814814815,0,0.0
BlueWallet__BlueWallet,Emu_Community,2024-03-03T09:32:49-04:00,2024-03-30T05:28:04-04:00,26.830034722222223,0,0.0
BlueWallet__BlueWallet,ThirdParty,2024-03-03T09:32:49-04:00,2024-03-30T05:28:04-04:00,26.830034722222223,0,0.0
BlueWallet__BlueWallet,Emu_Community,2024-03-30T05:28:04-04:00,2025-08-10T23:59:59+00:00,498.6054976851852,0,0.0
brandonp2412__FitBook,Emu_Custom,2024-05-14T18:43:17+12:00,2025-07-23T15:15:18+12:00,434.8555671296296,0,0.0
brandonp2412__FitBook,Emu_Community,2025-07-23T15:15:18+12:00,2025-08-10T23:59:59+00:00,18.864363425925927,0,0.0
brarcher__video-transcoder,Emu_Custom,2018-04-02T13:47:15-04:00,2025-08-10T23:59:59+00:00,2687.2588425925924,0,0.0
burnoo__cokoin,Emu_Community,2021-11-01T17:39:54+01:00,2025-08-10T23:59:59+00:00,1378.305613425926,0,0.0
CarlosMChica__easyrecycleradapters,Emu_Custom,2016-02-05T18:54:13+00:00,2025-08-10T23:59:59+00:00,3474.212337962963,0,0.0
cashapp__paraphrase,Emu_Community,2023-02-03T15:12:25-05:00,2025-08-10T23:59:59+00:00,919.1580324074074,0,0.0
CatimaLoyalty__Android,Emu_Custom,2016-01-30T20:36:10-05:00,2024-08-14T20:09:46+02:00,3118.69,0,0.0
CatimaLoyalty__Android,Emu_Community,2024-08-14T20:09:46+02:00,2025-08-10T23:59:59+00:00,361.2432060185185,0,0.0
cgeo__cgeo,Emu_Community,2024-04-14T21:06:45+02:00,2025-07-06T17:01:44+02:00,447.82984953703703,0,0.0
cgeo__cgeo,Emu_Community,2025-07-06T17:01:44+02:00,2025-07-06T19:26:43+02:00,0.10068287037037037,0,0.0
cgeo__cgeo,ThirdParty,2025-07-06T17:01:44+02:00,2025-07-06T19:26:43+02:00,0.10068287037037037,0,0.0
cgeo__cgeo,Emu_Community,2025-07-06T19:26:43+02:00,2025-07-06T19:31:36+02:00,0.0033912037037037036,0,0.0
cgeo__cgeo,Emu_Community,2025-07-06T19:31:36+02:00,2025-07-07T21:24:13+02:00,1.0782060185185185,0,0.0
cgeo__cgeo,ThirdParty,2025-07-06T19:31:36+02:00,2025-07-07T21:24:13+02:00,1.0782060185185185,0,0.0
cgeo__cgeo,Emu_Community,2025-07-07T21:24:13+02:00,2025-08-10T23:59:59+00:00,34.19150462962963,0,0.0
charpeni__react-native-url-polyfill,Emu_Community,2023-12-23T08:35:43-05:00,2025-08-10T23:59:59+00:00,596.4335185185186,0,0.0
chenxiaolong__RSAF,Emu_Community,2024-07-19T21:55:34-04:00,2025-08-10T23:59:59+00:00,386.91973379629627,0,0.0
cliqz-oss__browser-android,Emu_Custom,2018-02-14T16:01:42+01:00,2025-08-10T23:59:59+00:00,2734.3738078703705,0,0.0
cloudinary__cloudinary_android,Emu_Custom,2017-11-15T13:45:04+02:00,2025-08-10T23:59:59+00:00,2825.5103587962963,0,0.0
coil-kt__coil,Emu_Community,2019-12-07T15:58:33-08:00,2022-11-29T14:21:36-08:00,1087.932673611111,0,0.0
coil-kt__coil,Emu_Community,2022-11-29T14:21:36-08:00,2025-08-10T23:59:59+00:00,985.0683217592592,0,0.0
coil-kt__coil,GMD,2022-11-29T14:21:36-08:00,2025-08-10T23:59:59+00:00,985.0683217592592,0,0.0
commons-app__apps-android-commons,Emu_Custom,2016-07-16T14:50:51+09:00,2022-02-18T16:18:29+10:00,2043.0191898148148,0,0.0
commons-app__apps-android-commons,Emu_Community,2022-02-18T16:18:29+10:00,2025-08-10T23:59:59+00:00,1269.7371527777777,0,0.0
concretesolutions__canarinho,Emu_Custom,2015-06-27T23:39:31-03:00,2021-02-01T20:38:32-03:00,2045.8743171296296,0,0.0
concretesolutions__canarinho,Emu_Community,2021-02-01T20:38:32-03:00,2025-08-10T23:59:59+00:00,1651.0148958333334,0,0.0
connectbot__connectbot,Emu_Custom,2016-06-02T21:31:19-07:00,2021-02-27T13:24:02-08:00,1730.703275462963,0,0.0
connectbot__connectbot,Emu_Community,2021-02-27T13:24:02-08:00,2025-08-10T23:59:59+00:00,1625.1082986111112,0,0.0
Crazy-Marvin__MetadataRemover,Emu_Custom,2018-01-10T18:29:09+01:00,2019-12-17T02:46:48+01:00,705.3455902777778,0,0.0
Crazy-Marvin__MetadataRemover,Emu_Community,2019-12-17T02:46:48+01:00,2025-08-10T23:59:59+00:00,2063.925821759259,0,0.0
Criptext__Android-Email-Client,ThirdParty,2019-02-13T11:21:47-05:00,2025-08-10T23:59:59+00:00,2370.3181944444445,0,0.0
cuongpm__youtube-dl-android,ThirdParty,2019-02-02T17:43:32+07:00,2025-08-10T23:59:59+00:00,2381.5530902777778,0,0.0
CypherpunkArmory__UserLAnd,ThirdParty,2018-07-25T16:31:25-07:00,2025-08-10T23:59:59+00:00,2573.019837962963,0,0.0
dart-lang__http,Emu_Community,2022-08-18T13:50:03-07:00,2025-08-10T23:59:59+00:00,1088.1318981481481,0,0.0
dart-lang__native,Emu_Community,2025-04-15T18:54:47+02:00,2025-08-10T23:59:59+00:00,117.29527777777778,0,0.0
dbrodie__AdBuster,Emu_Custom,2016-08-14T20:39:52+03:00,2025-08-10T23:59:59+00:00,3283.2639699074075,0,0.0
DesarrolloAntonio__Shiori-Android-Client,Emu_Community,2024-06-14T17:18:54+02:00,2025-08-10T23:59:59+00:00,422.36186342592595,0,0.0
dgngulcan__droid-feed,Emu_Community,2020-05-09T18:31:05-04:00,2025-08-10T23:59:59+00:00,1919.061736111111,0,0.0
dlew__joda-time-android,Emu_Custom,2015-07-25T11:12:32-05:00,2021-10-09T12:24:40-05:00,2268.0500925925926,0,0.0
dlew__joda-time-android,Emu_Community,2021-10-09T12:24:40-05:00,2025-08-10T23:59:59+00:00,1401.2745254629629,0,0.0
dmfs__opentasks,Emu_Custom,2017-10-19T11:45:28+02:00,2025-08-10T23:59:59+00:00,2852.593414351852,0,0.0
doublesymmetry__KotlinAudio,Emu_Community,2021-08-26T15:31:40+02:00,2025-08-10T23:59:59+00:00,1445.4363310185186,0,0.0
douzifly__clear-todolist,Emu_Custom,2015-10-13T13:36:57+08:00,2025-08-10T23:59:59+00:00,3589.7659953703705,0,0.0
droidconKE__droidconKeKotlin,Emu_Community,2024-06-14T09:46:43+00:00,2025-08-10T23:59:59+00:00,422.5925462962963,0,0.0
DroidKaigi__conference-app-2020,Emu_Custom,2020-01-17T02:55:16+09:00,2020-01-17T16:12:36+09:00,0.5537037037037037,0,0.0
DroidKaigi__conference-app-2020,Emu_Community,2020-01-17T16:12:36+09:00,2025-08-10T23:59:59+00:00,2032.6995717592592,0,0.0
DroidKaigi__conference-app-2022,Emu_Community,2022-07-10T19:00:06+09:00,2022-10-03T11:01:59+09:00,84.66797453703704,0,0.0
DroidKaigi__conference-app-2022,GMD,2022-10-03T11:01:59+09:00,2025-08-10T23:59:59+00:00,1042.9152777777779,0,0.0
elftausend__custos,Emu_Community,2023-09-18T22:34:58+02:00,2025-08-10T23:59:59+00:00,692.1423726851851,0,0.0
EnsembleUI__ensemble,Emu_Community,2023-03-03T15:00:37-08:00,2024-07-18T16:05:00-07:00,503.0030439814815,0,0.0
EnsembleUI__ensemble,Emu_Community,2024-07-18T16:05:00-07:00,2024-07-25T18:14:46+05:30,6.569282407407408,0,0.0
EnsembleUI__ensemble,ThirdParty,2024-07-18T16:05:00-07:00,2024-07-25T18:14:46+05:30,6.569282407407408,0,0.0
EnsembleUI__ensemble,Emu_Community,2024-07-25T18:14:46+05:30,2025-08-10T23:59:59+00:00,381.46890046296295,0,0.0
ErickSumargo__Dads,Emu_Community,2021-03-08T13:38:07+07:00,2025-08-10T23:59:59+00:00,1616.7235185185186,0,0.0
erkkah__naett,Emu_Community,2021-12-12T22:53:11+01:00,2025-08-10T23:59:59+00:00,1337.0880555555555,0,0.0
