file,job,step_name,matched_keywords,detection_method,full_step_json
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\adorsys.secure-storage-android.GitHub_Actions.pull_request.yml,test,Test SecureStorage,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Test SecureStorage"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""target"": ""${{ matrix.target }}"",
    ""arch"": ""x86_64"",
    ""profile"": ""Nexus 6"",
    ""script"": ""./gradlew connectedAndroidTest --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\adorsys.secure-storage-android.GitHub_Actions.tag.yml,test,Test SecureStorage,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Test SecureStorage"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""target"": ""${{ matrix.target }}"",
    ""arch"": ""x86_64"",
    ""profile"": ""Nexus 6"",
    ""script"": ""./gradlew connectedAndroidTest --stacktrace""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ajitsing.ExpenseManager.GitHub_Actions.main.yml,instrumentation-test,Run espresso tests,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Run espresso tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 29,
    ""script"": ""./gradlew connectedCheck""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ajitsing.ExpenseManager.GitHub_Actions.main.yml,instrumentation-test,Upload test report,['instrumentation'],standard,"{
  ""name"": ""Upload test report"",
  ""uses"": ""actions/upload-artifact@v2"",
  ""with"": {
    ""name"": ""instrumentation_test_report"",
    ""path"": ""app/build/reports/androidTests/connected/""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\Akashkamble.Palette-Compose.GitHub_Actions.android_ui_tests.yml,android-test,Run Tests,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Run Tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 29,
    ""script"": ""./gradlew app:connectedCheck""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\Albert221.FastShopping.GitHub_Actions.screenshots.yml,android,Take AVD screenshots (Pixel 2 XL),"['emulator', 'adb', 'android-emulator']",standard,"{
  ""name"": ""Take AVD screenshots (Pixel 2 XL)"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 28,
    ""profile"": ""pixel_2_xl"",
    ""script"": ""# Demo mode\nadb shell settings put global sysui_demo_allowed 1\nadb shell am broadcast -a com.android.systemui.demo -e command enter\nadb shell am broadcast -a com.android.systemui.demo -e command clock -e hhmm 0941\n# Run\nflutter drive --target=test_driver/screenshots_android.dart --flavor foss\n""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\alexandreroman.wifiauto.Travis_CI..travis.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\AlexZhukovich.CoffeeDrinksWithJetpackCompose.GitHub_Actions.feature-workflow.yml,instrumentation-test,Instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 31,
    ""arch"": ""x86_64"",
    ""profile"": ""pixel"",
    ""target"": ""google_apis"",
    ""script"": ""./gradlew connectedCheck""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\AlexZhukovich.CoffeeDrinksWithJetpackCompose.GitHub_Actions.feature-workflow.yml,screenshot-test,Screenshot tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Screenshot tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2.24.0"",
  ""with"": {
    ""api-level"": 31,
    ""arch"": ""x86_64"",
    ""profile"": ""pixel"",
    ""target"": ""google_apis"",
    ""sdcard-path-or-size"": ""512M"",
    ""emulator-options"": ""-no-window -gpu swiftshader_indirect -no-snapshot -noaudio -no-boot-anim"",
    ""script"": ""./gradlew executeScreenshotTests -Pandroid.testInstrumentationRunnerArguments.size=medium""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\AlexZhukovich.CoffeeDrinksWithJetpackCompose.GitHub_Actions.master-and-pr-workflow.yml,instrumentation-test,Instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 31,
    ""arch"": ""x86_64"",
    ""profile"": ""pixel"",
    ""target"": ""google_apis"",
    ""script"": ""./gradlew connectedCheck""
  }
}"
