bucket,Emu_Community,Emu_Custom,GMD,ThirdParty
2008–2010,0.0,100.0,0.0,0.0
2011–2013,0.0,100.0,0.0,0.0
2014–2016,0.0,100.0,0.0,0.0
2017–2019,2.73224043715847,93.44262295081968,0.0,3.825136612021858
2020–2022,32.589285714285715,62.27678571428571,2.232142857142857,2.9017857142857144
2023–2025,36.49754500818331,55.810147299509005,4.746317512274959,2.9459901800327333
