project,api_level,source,yml_count
compose-material-dialogs,28,matrix,2
element-android,28,matrix,19
ci-matters,29,hardcoded,3
audio-recorder,28,matrix,2
audio-recorder,29,hardcoded,2
apps-android-wikipedia,29,hardcoded,4
yacguide,26,hardcoded,2
yacguide,33,hardcoded,2
AlarmClock,22,hardcoded,5
hyperrogue,28,hardcoded,3
ToxAndroidRefImpl,29,hardcoded,9
ToxAndroidRefImpl,31,hardcoded,9
ToxAndroidRefImpl,21,hardcoded,9
dialogue,26,matrix,1
dialogue,23,matrix,1
dialogue,30,matrix,1
