type,job_name,step_name,step_started_at,step_completed_at,job_html_url
earliest_setup_android_emulator,call-min-flutter-test / android,Setup Android Emulator,2025-12-23T19:06:18Z,2025-12-23T19:07:30Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469290792/job/58820625028
latest_run_flutter_integration_tests,call-test / android-exo,Run Flutter integration tests,2025-12-23T19:07:48Z,2025-12-23T19:44:42Z,https://github.com/bluefireteam/audioplayers/actions/runs/20469290792/job/58820625043
