job_id,job_name,job_html_url,runner_name,job_status,job_conclusion,job_started_at,job_completed_at,n_steps_total_in_job,n_layer2_candidates,manual_keep_job,manual_keep_pre,manual_keep_invocation,manual_keep_post,manual_notes,pre_step_number,pre_step_name,pre_started_at,pre_completed_at,pre_reason,invoke_first_step_number,invoke_first_step_name,invoke_first_started_at,invoke_first_completed_at,invoke_last_step_number,invoke_last_step_name,invoke_last_started_at,invoke_last_completed_at,invoke_reason,post_step_number,post_step_name,post_started_at,post_completed_at,post_reason
64995484601,android / build-android,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995484601,16-core-ubuntu-1010569992,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:54:20Z,11,11,,,,,,1,Set up job,2026-02-26T13:39:18Z,2026-02-26T13:39:20Z,set up job,7,Build Android test APK,2026-02-26T13:49:07Z,2026-02-26T13:53:50Z,7,Build Android test APK,2026-02-26T13:49:07Z,2026-02-26T13:53:50Z,test,17,Complete job,2026-02-26T13:54:17Z,2026-02-26T13:54:17Z,complete job; complete
64995486358,test-llama-runner-linux-android / linux-job,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,i-0c7afbcc0d3ac7913,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,30,25,,,,,,1,Set up job,2026-02-26T13:39:17Z,2026-02-26T13:39:35Z,set up job,2,Set up runner,2026-02-26T13:39:35Z,2026-02-26T13:39:42Z,20,Chown runner temp,2026-02-26T13:56:48Z,2026-02-26T13:56:49Z,job_context + run/script fallback,53,Complete job,2026-02-26T13:57:14Z,2026-02-26T13:57:14Z,complete job; complete
64997440976,android / run-emulator,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64997440976,8-core-ubuntu-1010570434,completed,success,2026-02-26T13:54:24Z,2026-02-26T14:38:57Z,10,9,,,,,,1,Set up job,2026-02-26T13:54:24Z,2026-02-26T13:54:27Z,set up job,5,Prepare test APK,2026-02-26T13:54:41Z,2026-02-26T13:54:41Z,5,Prepare test APK,2026-02-26T13:54:41Z,2026-02-26T13:54:41Z,test,15,Complete job,2026-02-26T14:38:55Z,2026-02-26T14:38:55Z,complete job; complete
