job_id,job_name,job_status,job_conclusion,job_started_at,job_completed_at,job_html_url,runner_name,labels,step_number,step_name,step_status,step_conclusion,step_started_at,step_completed_at,step_hint_terms,phase_guess,phase_reason,phase_score,job_started_at_dt,job_completed_at_dt,step_started_at_dt,step_completed_at_dt,duration_seconds
64995486358,test-llama-runner-linux-android / linux-job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,i-0c7afbcc0d3ac7913,linux.2xlarge,1,Set up job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:39:35Z,,pre_invocation,set up job,1,2026-02-26 13:39:17+00:00,2026-02-26 13:57:15+00:00,2026-02-26 13:39:17+00:00,2026-02-26 13:39:35+00:00,18.0
64995484601,android / build-android,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:54:20Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995484601,16-core-ubuntu-1010569992,16-core-ubuntu,1,Set up job,completed,success,2026-02-26T13:39:18Z,2026-02-26T13:39:20Z,,pre_invocation,set up job,1,2026-02-26 13:39:17+00:00,2026-02-26 13:54:20+00:00,2026-02-26 13:39:18+00:00,2026-02-26 13:39:20+00:00,2.0
64995484601,android / build-android,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:54:20Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995484601,16-core-ubuntu-1010569992,16-core-ubuntu,2,Run actions/checkout@v4,completed,success,2026-02-26T13:39:20Z,2026-02-26T13:40:58Z,,pre_invocation,checkout,1,2026-02-26 13:39:17+00:00,2026-02-26 13:54:20+00:00,2026-02-26 13:39:20+00:00,2026-02-26 13:40:58+00:00,98.0
64995486358,test-llama-runner-linux-android / linux-job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,i-0c7afbcc0d3ac7913,linux.2xlarge,2,Set up runner,completed,success,2026-02-26T13:39:35Z,2026-02-26T13:39:42Z,,invocation_candidate,job_context + run/script fallback,1,2026-02-26 13:39:17+00:00,2026-02-26 13:57:15+00:00,2026-02-26 13:39:35+00:00,2026-02-26 13:39:42+00:00,7.0
64995486358,test-llama-runner-linux-android / linux-job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,i-0c7afbcc0d3ac7913,linux.2xlarge,3,Clean workspace,completed,success,2026-02-26T13:39:42Z,2026-02-26T13:39:42Z,,other,,0,2026-02-26 13:39:17+00:00,2026-02-26 13:57:15+00:00,2026-02-26 13:39:42+00:00,2026-02-26 13:39:42+00:00,0.0
64995486358,test-llama-runner-linux-android / linux-job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,i-0c7afbcc0d3ac7913,linux.2xlarge,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:42Z,2026-02-26T13:39:44Z,,invocation_execution,test,1,2026-02-26 13:39:17+00:00,2026-02-26 13:57:15+00:00,2026-02-26 13:39:42+00:00,2026-02-26 13:39:44+00:00,2.0
64995486358,test-llama-runner-linux-android / linux-job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,i-0c7afbcc0d3ac7913,linux.2xlarge,5,Setup Linux,completed,success,2026-02-26T13:39:44Z,2026-02-26T13:39:48Z,,pre_invocation,setup,1,2026-02-26 13:39:17+00:00,2026-02-26 13:57:15+00:00,2026-02-26 13:39:44+00:00,2026-02-26 13:39:48+00:00,4.0
64995486358,test-llama-runner-linux-android / linux-job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,i-0c7afbcc0d3ac7913,linux.2xlarge,6,Setup ROCM,completed,skipped,2026-02-26T13:39:48Z,2026-02-26T13:39:48Z,,pre_invocation,setup,1,2026-02-26 13:39:17+00:00,2026-02-26 13:57:15+00:00,2026-02-26 13:39:48+00:00,2026-02-26 13:39:48+00:00,0.0
64995486358,test-llama-runner-linux-android / linux-job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,i-0c7afbcc0d3ac7913,linux.2xlarge,7,Setup SSH,completed,success,2026-02-26T13:39:48Z,2026-02-26T13:39:48Z,,pre_invocation,setup,1,2026-02-26 13:39:17+00:00,2026-02-26 13:57:15+00:00,2026-02-26 13:39:48+00:00,2026-02-26 13:39:48+00:00,0.0
64995486358,test-llama-runner-linux-android / linux-job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,i-0c7afbcc0d3ac7913,linux.2xlarge,8,Checkout repository (pytorch/executorch@5a9b2808411e71a71352005f4568fa3ce0b777a2),completed,success,2026-02-26T13:39:48Z,2026-02-26T13:40:26Z,,pre_invocation,checkout,1,2026-02-26 13:39:17+00:00,2026-02-26 13:57:15+00:00,2026-02-26 13:39:48+00:00,2026-02-26 13:40:26+00:00,38.0
