job_id,job_name,job_started_at,job_completed_at,job_html_url,step_number,step_name,step_status,step_conclusion,step_started_at,step_completed_at,step_started_at_dt,step_completed_at_dt,duration_seconds
64995486358,test-llama-runner-linux-android / linux-job,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,1,Set up job,completed,success,2026-02-26T13:39:17Z,2026-02-26T13:39:35Z,2026-02-26 13:39:17+00:00,2026-02-26 13:39:35+00:00,18.0
64995484601,android / build-android,2026-02-26T13:39:17Z,2026-02-26T13:54:20Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995484601,1,Set up job,completed,success,2026-02-26T13:39:18Z,2026-02-26T13:39:20Z,2026-02-26 13:39:18+00:00,2026-02-26 13:39:20+00:00,2.0
64995484601,android / build-android,2026-02-26T13:39:17Z,2026-02-26T13:54:20Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995484601,2,Run actions/checkout@v4,completed,success,2026-02-26T13:39:20Z,2026-02-26T13:40:58Z,2026-02-26 13:39:20+00:00,2026-02-26 13:40:58+00:00,98.0
64995486775,unittest-editable / windows / windows-job,2026-02-26T13:39:17Z,2026-02-26T14:56:31Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486775,3,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:22Z,2026-02-26T13:39:27Z,2026-02-26 13:39:22+00:00,2026-02-26 13:39:27+00:00,5.0
64995487299,test-coreml-bc-macos (macos-m2-stable) / macos-job,2026-02-26T13:39:17Z,2026-02-26T13:47:39Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995487299,3,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:24Z,2026-02-26T13:39:29Z,2026-02-26 13:39:24+00:00,2026-02-26 13:39:29+00:00,5.0
64995486358,test-llama-runner-linux-android / linux-job,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,2,Set up runner,completed,success,2026-02-26T13:39:35Z,2026-02-26T13:39:42Z,2026-02-26 13:39:35+00:00,2026-02-26 13:39:42+00:00,7.0
64995485294,"test-models-linux-basic (vit, xnnpack-quantization-delegation, cmake, linux.2xlarge, executorch-u... / linux-job",2026-02-26T13:39:16Z,2026-02-26T13:52:38Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485294,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:42Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:42+00:00,1.0
64995485223,test-qnn-wheel-packages-linux (3.10) / linux-job,2026-02-26T13:39:16Z,2026-02-26T13:57:51Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485223,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:42Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:42+00:00,1.0
64995485079,test-qnn-wheel-packages-linux (3.13) / linux-job,2026-02-26T13:39:16Z,2026-02-26T13:57:05Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485079,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:42Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:42+00:00,1.0
64995484967,test-setup-linux-gcc / linux-job,2026-02-26T13:39:16Z,2026-02-26T13:52:26Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995484967,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:42Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:42+00:00,1.0
64995485772,nxp-build-test / linux-job,2026-02-26T13:39:16Z,2026-02-26T13:46:29Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485772,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995485955,"test-models-linux (add_mul, portable, linux.2xlarge) / linux-job",2026-02-26T13:39:16Z,2026-02-26T13:52:18Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485955,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995486035,"test-models-linux (emformer_transcribe, xnnpack-quantization-delegation, linux.2xlarge) / linux-job",2026-02-26T13:39:16Z,2026-02-26T13:55:24Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486035,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995485939,"test-models-linux (linear, portable, linux.2xlarge) / linux-job",2026-02-26T13:39:16Z,2026-02-26T13:51:09Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485939,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995486255,"test-models-linux (linear, xnnpack-quantization-delegation, linux.2xlarge) / linux-job",2026-02-26T13:39:16Z,2026-02-26T13:51:26Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486255,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995485986,"test-models-linux (mobilebert, portable, linux.2xlarge) / linux-job",2026-02-26T13:39:16Z,2026-02-26T13:52:41Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485986,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995486123,"test-models-linux (mv2, portable, linux.2xlarge) / linux-job",2026-02-26T13:39:16Z,2026-02-26T13:52:22Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486123,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995485525,"test-models-linux-basic (mv3, portable, buck2, linux.2xlarge, executorch-ubuntu-22.04-clang12) / linux-job",2026-02-26T13:39:16Z,2026-02-26T13:52:09Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485525,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995485527,test-vulkan-models-linux / linux-job,2026-02-26T13:39:16Z,2026-02-26T14:01:33Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485527,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995485548,test-vulkan-operators-linux / linux-job,2026-02-26T13:39:16Z,2026-02-26T13:58:39Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995485548,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:41Z,2026-02-26T13:39:43Z,2026-02-26 13:39:41+00:00,2026-02-26 13:39:43+00:00,2.0
64995486358,test-llama-runner-linux-android / linux-job,2026-02-26T13:39:17Z,2026-02-26T13:57:15Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486358,3,Clean workspace,completed,success,2026-02-26T13:39:42Z,2026-02-26T13:39:42Z,2026-02-26 13:39:42+00:00,2026-02-26 13:39:42+00:00,0.0
64995486321,test-binary-size-linux-gcc / linux-job,2026-02-26T13:39:16Z,2026-02-26T13:48:27Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995486321,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:42Z,2026-02-26T13:39:43Z,2026-02-26 13:39:42+00:00,2026-02-26 13:39:43+00:00,1.0
64995487362,test-build-wasm-linux / linux-job,2026-02-26T13:39:17Z,2026-02-26T13:56:22Z,https://github.com/pytorch/executorch/actions/runs/22444580419/job/64995487362,4,Checkout repository (pytorch/test-infra@),completed,success,2026-02-26T13:39:42Z,2026-02-26T13:39:43Z,2026-02-26 13:39:42+00:00,2026-02-26 13:39:43+00:00,1.0
